Player,Team,Pos,Injury,Status,Est. Return
Braxton Garrett,MIA,P,Forearm,15-Day IL,Subscribers Only
Reed Garrett,NYM,P,Elbow,15-Day IL,Subscribers Only
Robert Gasser,MIL,P,Elbow,60-Day IL,Subscribers Only
Ian Gibaut,CIN,P,Forearm,60-Day IL,Subscribers Only
Drew Gilbert,NYM,OF,Hamstring,7-Day IL,Subscribers Only
Lucas Gilbreath,COL,P,Elbow,60-Day IL,Subscribers Only
Lucas Giolito,BOS,P,Elbow,60-Day IL,Subscribers Only
Sawyer Gipson-Long,DET,P,Elbow,60-Day IL,Subscribers Only
Chris Gittens,HOU,1B,Knee,7-Day IL,Subscribers Only
Tyler Glasnow,LAD,P,Back,15-Day IL,Subscribers Only
Raimon Gomez,NYM,P,Elbow,60-Day IL,Subscribers Only
Tony Gonsolin,LAD,P,Elbow,60-Day IL,Subscribers Only
Marco Gonzales,PIT,P,Forearm,60-Day IL,Subscribers Only
Cristian Gonzalez,HOU,3B,Undisclosed,60-Day IL,Subscribers Only
Trevor Gott,OAK,P,Elbow,60-Day IL,Subscribers Only
Peyton Graham,DET,SS,Undisclosed,7-Day IL,Subscribers Only
Brusdar Graterol,LAD,P,Shoulder,60-Day IL,Subscribers Only
Kendall Graveman,HOU,P,Shoulder,60-Day IL,Subscribers Only
Josiah Gray,WSH,P,Elbow,60-Day IL,Subscribers Only
Shane Greene,TEX,P,Undisclosed,60-Day IL,Subscribers Only
Caden Grice,ARI,P,Elbow,Out,Subscribers Only
Vaughn Grissom,BOS,SS,Hamstring,10-Day IL,Subscribers Only
Jay Groome,SD,P,Suspension,Suspension,Subscribers Only
Gino Groover,ARI,3B,Wrist,60-Day IL,Subscribers Only
Michael Grove,LAD,P,Ribs,15-Day IL,Subscribers Only
Dalton Guthrie,BOS,OF,Undisclosed,7-Day IL,Subscribers Only
Sam Haggerty,SEA,OF,Achilles,60-Day IL,Subscribers Only
DL Hall,MIL,P,Knee,60-Day IL,Subscribers Only
Anthony Hall,NYY,OF,Undisclosed,7-Day IL,Subscribers Only
Ian Hamilton,NYY,P,Lat,15-Day IL,Subscribers Only
Chase Hampton,NYY,P,Elbow,60-Day IL,Subscribers Only
Hogan Harris,OAK,P,Personal,Paternity,Subscribers Only
Michael Harris,ATL,OF,Hamstring,10-Day IL,Subscribers Only
Grant Hartwig,NYM,P,Knee,7-Day IL,Subscribers Only
Robert Hassell,WSH,OF,Undisclosed,7-Day IL,Subscribers Only
Garrett Hawkins,SD,P,Elbow,60-Day IL,Subscribers Only
Dillon Head,MIA,OF,Hip,7-Day IL,Subscribers Only
Brent Headrick,MIN,P,Forearm,60-Day IL,Subscribers Only
Jonathan Heasley,BAL,P,Shoulder,7-Day IL,Subscribers Only
Kyle Hendricks,CHC,P,Back,Day-To-Day,Subscribers Only
Liam Hendriks,BOS,P,Elbow,60-Day IL,Subscribers Only
Payton Henry,TOR,C,Head,7-Day IL,Subscribers Only
Cole Henry,WSH,P,Undisclosed,7-Day IL,Subscribers Only
Jimmy Herget,ATL,P,Shoulder,15-Day IL,Subscribers Only
Sean Hermann,NYY,P,Elbow,Out,Subscribers Only
Darell Hernaiz,OAK,SS,Ankle,60-Day IL,Subscribers Only
Ivan Herrera,STL,C,Back,10-Day IL,Subscribers Only
Kehden Hettiger,PHI,C,Undisclosed,7-Day IL,Subscribers Only
Jason Heyward,LAD,OF,Knee,10-Day IL,Subscribers Only
Alejandro Hidalgo,MIN,P,Shoulder,60-Day IL,Subscribers Only
Grayson Hitt,ARI,P,Elbow,60-Day IL,Subscribers Only
Hunter Hollan,CIN,P,Undisclosed,60-Day IL,Subscribers Only
Will Holland,MIN,SS,Lower Leg,7-Day IL,Subscribers Only
Travis Honeyman,STL,OF,Undisclosed,7-Day IL,Subscribers Only
Zyhir Hope,LAD,OF,Shoulder,7-Day IL,Subscribers Only
TJ Hopkins,DET,OF,Shoulder,60-Day IL,Subscribers Only
Cade Horton,CHC,P,Lat,7-Day IL,Subscribers Only
Zac Houston,PHI,P,Undisclosed,7-Day IL,Subscribers Only
Wyatt Hudepohl,NYM,P,Undisclosed,60-Day IL,Subscribers Only
Gabriel Hughes,COL,P,Elbow,60-Day IL,Subscribers Only
Jose Iglesias,NYM,SS,Illness,Day-To-Day,Subscribers Only
Drey Jameson,ARI,P,Elbow,60-Day IL,Subscribers Only
Cristian Javier,HOU,P,Elbow,60-Day IL,Subscribers Only
Daulton Jefferies,PIT,P,Elbow,15-Day IL,Subscribers Only
Andrew Jenkins,DET,1B,Shoulder,60-Day IL,Subscribers Only
Dany Jimenez,OAK,P,Oblique,15-Day IL,Subscribers Only
Marcus Johnson,TB,P,Elbow,60-Day IL,Subscribers Only
Jared Jones,PIT,P,Lat,15-Day IL,Subscribers Only
Josh Jung,TEX,3B,Wrist,60-Day IL,Subscribers Only
James Karinchak,CLE,P,Shoulder,60-Day IL,Subscribers Only
Joe Kelly,LAD,P,Shoulder,60-Day IL,Subscribers Only
Michael Kelly,OAK,P,Suspension,Suspension,Subscribers Only
Merrill Kelly,ARI,P,Shoulder,60-Day IL,Subscribers Only
Kannon Kemp,SD,P,Shoulder,60-Day IL,Subscribers Only
Zak Kent,CLE,P,Elbow,7-Day IL,Subscribers Only
Ray Kerr,ATL,P,Elbow,60-Day IL,Subscribers Only
Clayton Kershaw,LAD,P,Shoulder,60-Day IL,Subscribers Only
Caleb Kilian,CHC,P,Shoulder,60-Day IL,Subscribers Only
Isiah Kiner-Falefa,TOR,OF,Knee,10-Day IL,Subscribers Only
Alex Kirilloff,MIN,1B,Back,10-Day IL,Subscribers Only
Reiss Knehr,SD,P,Elbow,Out,Subscribers Only
Lucas Knowles,WSH,P,Undisclosed,7-Day IL,Subscribers Only
Jared Koenig,MIL,P,Elbow,15-Day IL,Subscribers Only
Jacob Kostyshock,COL,P,Undisclosed,7-Day IL,Subscribers Only
Rhett Kouba,HOU,P,Undisclosed,7-Day IL,Subscribers Only
Jackson Kowar,SEA,P,Elbow,60-Day IL,Subscribers Only
Asa Lacy,KC,P,Elbow,Out,Subscribers Only
Dane Lais,SD,P,Undisclosed,60-Day IL,Subscribers Only
Jimmy Lambert,CWS,P,Shoulder,60-Day IL,Subscribers Only
Alex Lange,DET,P,Lat,60-Day IL,Subscribers Only
Justin Lange,NYY,P,Shoulder,60-Day IL,Subscribers Only
Cale Lansville,SF,P,Undisclosed,7-Day IL,Subscribers Only
Cristopher Larez,NYM,SS,Suspension,Suspension,Subscribers Only
Ramon Laureano,ATL,OF,Oblique,10-Day IL,Subscribers Only
Nate Lavender,NYM,P,Elbow,7-Day IL,Subscribers Only
Jordan Lawlar,ARI,SS,Hamstring,7-Day IL,Subscribers Only
Jung Hoo Lee,SF,OF,Shoulder,60-Day IL,Subscribers Only
Ben Leeper,CHC,P,Elbow,60-Day IL,Subscribers Only
Eddys Leonard,DET,SS,Undisclosed,7-Day IL,Subscribers Only
Dominic Leone,CWS,P,Elbow,60-Day IL,Subscribers Only
Royce Lewis,MIN,3B,Groin,10-Day IL,Subscribers Only
Jonathan Loaisiga,NYY,P,Elbow,60-Day IL,Subscribers Only
Conner Loeprich,BAL,P,Undisclosed,60-Day IL,Subscribers Only
Otto Lopez,MIA,SS,Back,10-Day IL,Subscribers Only
Dariel Lopez,SF,3B,Knee,60-Day IL,Subscribers Only
Kiefer Lord,BAL,P,Elbow,Out,Subscribers Only
Austin Love,STL,P,Undisclosed,60-Day IL,Subscribers Only
Richard Lovelady,TB,P,Forearm,15-Day IL,Subscribers Only
Quinton Low,MIL,P,Undisclosed,60-Day IL,Subscribers Only
Nathan Lukes,TOR,OF,Thumb,7-Day IL,Subscribers Only
Jordan Luplow,PHI,OF,Knee,60-Day IL,Subscribers Only
Jesus Luzardo,MIA,P,Back,60-Day IL,Subscribers Only
Jordan Lyles,KC,P,Personal,Out,Subscribers Only
Adam Macko,TOR,P,Forearm,7-Day IL,Subscribers Only
Nick Madrigal,CHC,2B,Hand,7-Day IL,Subscribers Only
Tyler Mahle,TEX,P,Elbow,60-Day IL,Subscribers Only
Luke Maile,CIN,C,Back,10-Day IL,Subscribers Only
Alek Manoah,TOR,P,Elbow,15-Day IL,Subscribers Only
Tucupita Marcano,FA,OF,Suspension,Suspension,Subscribers Only
Jordan Marks,DET,P,Elbow,60-Day IL,Subscribers Only
Landen Maroudis,TOR,P,Elbow,60-Day IL,Subscribers Only
German Marquez,COL,P,Elbow,60-Day IL,Subscribers Only
Franklin Marquez,WSH,P,Undisclosed,60-Day IL,Subscribers Only
Starling Marte,NYM,OF,Knee,10-Day IL,Subscribers Only
Chris Martin,BOS,P,Elbow,15-Day IL,Subscribers Only
Corbin Martin,BAL,P,Shoulder,7-Day IL,Subscribers Only
Austin Martin,MIN,OF,Oblique,10-Day IL,Subscribers Only
Davis Martin,CWS,P,Elbow,60-Day IL,Subscribers Only
Orelvis Martinez,TOR,SS,Suspension,Suspension,Subscribers Only
Nick Martini,CIN,OF,Thumb,10-Day IL,Subscribers Only
Bryan Mata,BOS,P,Shoulder,15-Day IL,Subscribers Only
Tyler Mattison,DET,P,Elbow,60-Day IL,Subscribers Only
Steven Matz,STL,P,Back,60-Day IL,Subscribers Only
Tyler Matzek,ATL,P,Elbow,60-Day IL,Subscribers Only
Ronny Mauricio,NYM,2B,Knee,60-Day IL,Subscribers Only
Dustin May,LAD,P,Elbow,60-Day IL,Subscribers Only
Chris Mazza,FA,P,Elbow,Out,Subscribers Only
David McCabe,ATL,3B,Elbow,60-Day IL,Subscribers Only
Shane McClanahan,TB,P,Elbow,60-Day IL,Subscribers Only
Kade McClure,PIT,P,Undisclosed,7-Day IL,Subscribers Only
Brady McConnell,KC,SS,Undisclosed,60-Day IL,Subscribers Only
Lance McCullers,HOU,P,Forearm,60-Day IL,Subscribers Only
Brody McCullough,CHC,P,Undisclosed,60-Day IL,Subscribers Only
Alex McFarlane,PHI,P,Elbow,60-Day IL,Subscribers Only
Griff McGarry,PHI,P,Undisclosed,7-Day IL,Subscribers Only
Easton McGee,MIL,P,Elbow,60-Day IL,Subscribers Only
Teddy McGraw,SEA,P,Elbow,60-Day IL,Subscribers Only
Brendan McKay,TB,P,Elbow,60-Day IL,Subscribers Only
Matt McLain,CIN,2B,Shoulder,60-Day IL,Subscribers Only
Parker Meadows,DET,OF,Hamstring,10-Day IL,Subscribers Only
John Means,BAL,P,Elbow,60-Day IL,Subscribers Only
Wade Meckler,SF,OF,Wrist,7-Day IL,Subscribers Only
J.C. Mejia,FA,P,Suspension,Suspension,Subscribers Only
Cristofer Melendez,PIT,P,Personal,Out,Subscribers Only
Jordarlin Mendoza,NYY,P,Undisclosed,60-Day IL,Subscribers Only
Julian Merryweather,CHC,P,Ribs,60-Day IL,Subscribers Only
Keynan Middleton,STL,P,Forearm,60-Day IL,Subscribers Only
Spencer Miles,SF,P,Back,60-Day IL,Subscribers Only
Wade Miley,MIL,P,Elbow,60-Day IL,Subscribers Only
Troy Miller,NYM,P,Undisclosed,60-Day IL,Subscribers Only
Cole Miller,OAK,P,Elbow,60-Day IL,Subscribers Only
Wyatt Mills,BOS,P,Elbow,60-Day IL,Subscribers Only
Kevin Miranda,TOR,P,Undisclosed,7-Day IL,Subscribers Only
Casey Mize,DET,P,Hamstring,15-Day IL,Subscribers Only
Yoan Moncada,CWS,3B,Thigh,60-Day IL,Subscribers Only
Jordan Montgomery,ARI,P,Knee,15-Day IL,Subscribers Only
Sean Mooney,MIN,P,Shoulder,60-Day IL,Subscribers Only
Yohandy Morales,WSH,3B,Thumb,7-Day IL,Subscribers Only
Jovani Moran,MIN,P,Elbow,60-Day IL,Subscribers Only
Dauri Moreta,PIT,P,Elbow,60-Day IL,Subscribers Only
Nazier Mule,CHC,P,Elbow,Out,Subscribers Only
Max Muncy,LAD,3B,Oblique,60-Day IL,Subscribers Only
Max Muncy,OAK,SS,Hand,7-Day IL,Subscribers Only
Penn Murfee,HOU,P,Elbow,60-Day IL,Subscribers Only
Tom Murphy,SF,C,Knee,60-Day IL,Subscribers Only
Chris Murphy,BOS,P,Elbow,60-Day IL,Subscribers Only
Ryan Murphy,SF,P,Undisclosed,7-Day IL,Subscribers Only
Owen Murphy,ATL,P,Elbow,60-Day IL,Subscribers Only
Jayden Murray,HOU,P,Undisclosed,7-Day IL,Subscribers Only
